Lib_GGA.65_S2_R1_001	Lib_GGA.71_S4_R1_001	Lib_GGA.88_S6_R1_001	Lib_GGA.90_S8_R1_001	Lib_GGA.64_S1_R1_001	Lib_GGA.70_S3_R1_001	Lib_GGA.87_S5_R1_001	Lib_GGA.89_S7_R1_001
CAPG	7.21000339838832	7.18583171113366	7.82332979569685	7.98661968503786	6.03054743687862	6.06331145759983	6.70196713804853	6.8557026640725
BDH1	5.42168165789942	5.29874381259092	5.2818592307038	5.72040421866907	6.62556110959949	6.53919628611956	6.73598612007269	7.03027612664371
NSG1	5.01186534405798	5.21599060827131	5.28615134704596	5.8600902649421	1.40012441337252	1.35405477631616	0.634150711561428	2.29645869106032
CEP112	5.12337292334329	5.52065436315429	5.15618257506403	5.02047190245018	3.26394000040529	3.30265049865364	3.45106983473017	2.78792904539919
INPP5F	6.20748528140562	6.24834877321592	6.48663864514307	5.88704726263808	4.67247255763097	4.8350557738703	5.15620286236424	4.64178237085041
ACSL1	7.585949712565	7.36238795684298	7.53014761438941	7.16762727444442	6.28297362056643	6.09650263887042	5.9319739053086	5.91383460390927
LINC01686	1.79836787938927	2.46986540871179	2.88271109330348	1.70898575552243	0	0.0512926384177436	0	0
ECE1	8.28541702583535	8.11506547432235	8.56178303166632	8.26450464035931	7.16428893464499	6.60665165195961	7.30855695338535	6.84535593732288
TBL1X	4.71998059034144	4.15974002544101	4.67224378394822	4.30885700223709	6.10114710675976	5.5843136489655	5.88942352006768	5.72049250604908
FNBP1L	5.51725701244422	5.09983187079553	5.58681453276759	4.79504979524206	0.495501616599547	0.755029053011592	1.86466292241544	0.645520459695899
TNFAIP8	9.66004723820686	9.70782465814682	10.0515873159412	9.35868922412667	8.69430808678392	8.56287765469924	8.77181569905	8.29600448220391
RORC	3.75956428554509	3.83585021856746	3.95680619382562	3.45642959964699	1.6760034392543	1.31261286143791	1.34356739221831	1.2807003491975
CD7	5.07523733923474	4.64958178141244	3.9710946307182	4.20250219119827	6.78417143764259	6.17520260647145	5.3966313414817	5.45819521126186
RGCC	7.0221920698018	7.14244978591924	7.53105205341275	7.06681667056158	5.71958628372715	5.80396252396136	5.80647362040441	5.71636928468669
FOXO1	5.75683648348087	5.3874759081515	5.66689830254825	5.23200167342051	4.47203770619323	3.94530656871345	4.11799116469227	3.74168885820462
NRP2	4.15494569181128	4.16279055920858	7.06934479601322	3.45642959964699	1.2484094920551	1.4527326913327	3.34309842889056	1.52657552784397
HOPX	6.75264541469322	6.8879227336375	6.03229860391612	6.00863364133785	8.62401133621252	8.74841805294612	7.36140417290459	8.11814843394647
RGS16	7.93963471218786	8.43666153472088	9.00920735397856	8.23014012465215	4.89316957512841	4.08723139091594	5.75894295757769	5.35456036682412
CXXC5	2.93965012630086	3.32253053814503	3.98875844554444	3.40939098861321	0.742662228639235	0.72375307998876	0.989688975706613	1.21207634272592
CAMK2N1	1.76638770242119	2.50874599052564	2.4547188362156	2.61482957362139	0.159743893098963	0.366860329795692	0.211287737576845	0.202237079329097
ANKH	7.87666720332714	7.49144069554379	7.33818655739628	7.19253846313627	6.79333831916434	6.00108331950344	5.94218698706977	5.68822498600714
MALT1	8.569215405913	7.95050562831271	8.44763139111101	7.98950994130172	6.47418337014865	6.12221671205428	7.04511779906702	6.46338252326887
CARMIL3	2.68123694756083	3.24980208914734	3.29419012844581	2.8831400150353	0.664886989186792	1.10981092109906	1.20238576986816	0.899380911577859
PGGHG	1.78246640204196	2.21161557383455	2.19955547259188	1.6916159077484	5.30459208789817	4.48011211345768	4.86753306371473	4.68039488573993
CCR4	9.30335558625298	9.23771749963402	9.61685717095207	8.97213053788192	8.26942147836403	8.0823375624559	8.11647138022044	7.65124393701472
SIPA1L2	3.23081385698861	3.68275613142514	4.81769918340439	3.24050054734192	1.49307169564321	1.26994521691538	2.27045016913642	1.23531559486202
CLIC3	1.82965449903089	2.68034068538196	1.55184750519762	3.15436538238586	0.159743893098963	0.239965751436392	0.109508395512147	0.154273021564897
TSC22D3	6.09369597868618	6.29358174602588	7.22574574466461	6.91885723622511	4.83812927515139	4.35045537217107	5.42206310856881	5.15880057252004
PLAUR	4.41683303469952	4.39064378417298	4.73638543865887	4.17151251541488	2.74589983784984	2.50306559982752	2.86183897714276	2.66495454633954
ALOX5AP	7.92703315822191	8.47628172035899	8.06562919434236	8.7106140241345	6.93017843345905	7.11672307877368	6.64456074101493	7.48881119628337
PHLDB2	3.61441664502814	3.85483671072765	4.07065851689054	3.78189281547924	1.6760034392543	1.79123850803161	2.31685754253716	1.89089679478683
C2CD4D-AS1	4.95447881247074	4.64304320740776	4.65906600713692	4.42640118986106	3.40217787633719	2.74034243283525	3.02447563493533	2.8866359529046
KCNK1	5.17757357418079	4.98732688039061	5.03899531212572	4.58532904805543	3.59274321902742	2.98419717321804	2.88512613195767	2.3506685336873
UCP3	3.50723471796278	4.53653663964682	5.40142185172575	4.82323782844109	1.2484094920551	1.15740560370774	1.47215620954	1.91987294816382
ACTA2	5.10271105594363	5.41204000669854	5.49462349705093	5.59405150917721	3.71997596799172	3.74957355317043	4.19455123319455	4.24659597602191
PRKD3	6.59087356146319	6.82336147217505	7.0767965766944	6.35118170625578	5.51037859677663	5.59947008454371	6.07553287276498	5.25432160451629
LDLRAD4	6.67025010756919	6.79021066031588	6.28623638731658	6.72758159703793	5.28847436872684	5.48054522299331	5.27849155513878	5.45324846205107
NR3C1	7.82326528502432	7.71831381255231	7.8540116656455	7.94163818078665	6.86464907409407	6.72933869790873	6.83746441309081	6.7762305675791
PRR5L	4.92037214759229	4.06182459146454	5.99082610790171	5.05992701335455	1.31781482206539	1.89315613625635	2.2586112667271	1.80030374212583
IRF5	5.16382956192089	5.28060405157032	6.12066893503005	5.28941920160484	3.74538949045262	3.53210922477148	4.7874029369886	3.91720142868876
TMEM71	3.85768375149853	3.68275613142514	3.11276974992337	3.7275331702963	5.54606663396839	5.44742268160708	5.20173925946027	5.14352705078171
AC022126.1	3.94598822724164	4.07483857552487	1.1859106620789	3.65768885205212	1.07884462484582	1.63189104553774	0.306357493645871	1.11518460772085
INAVA	3.70155502079509	3.98807033975438	2.6714626763939	3.73603067198995	0.121435361534776	0.625638834630983	0.395547847620395	0.248657692767673
NCBP3	7.16049447682778	7.15629078753494	7.17380072893433	7.18208146299409	6.23836190909829	6.04523952092587	6.09313857589918	6.11359851621614
RCBTB2	3.83087620024738	4.22832036718708	4.72799620139036	4.87993190292661	5.40866814323534	6.06798888052479	5.93383621503857	6.48293168931718
RAPGEF3	2.61094539187184	3.40213095698897	3.60941892689233	3.21032492095976	0.742662228639235	0.556314659576759	0.740119903302589	0.778027241712252
LGALS3	7.9204638356967	7.6372906235434	6.77423609955629	7.10175692280646	6.29646864449234	5.96726466962775	4.46566085407099	4.7241743009494
MMP25	2.34471647650139	2.59257562882809	1.05788498055803	1.99043843020481	4.04564111824294	4.52389427085896	2.74790072639987	4.20893928210684
SLC35E4	5.48200020761287	5.23640440520953	4.67878780763674	5.50983941745151	4.03279794648147	3.93168424026841	2.9674337588729	3.737625857912
ETS2	7.63603046224488	7.28190354527068	7.49009040107778	7.20865573405299	6.16433665945995	6.03013786955172	6.31655898109545	6.19512058755434
LMCD1	5.40619956816866	5.51469739414745	5.09062193113533	4.94000919835299	3.53197595470166	3.75345041619189	3.71205580177099	2.85697750552266
RGS14	4.27629481141038	3.46773486130361	3.82141230042441	3.87331911599634	5.62862107948501	5.58322492904679	5.60616477449651	5.65629579566191
CYTH3	3.94241479243797	2.98611591374832	4.87581142745741	3.16698976189577	1.38403389162714	1.08541152109929	1.62751556238622	1.21207634272592
WASF1	3.14013514660373	2.77906314137661	3.41930378324497	3.12231249911679	0.953608331191271	0.755029053011592	1.51259244109397	1.01131409337455
SORD2P	5.73428154797053	4.73814017875604	5.24264450169934	4.93632677787347	3.2010405183257	2.18488539037468	3.52705570514933	2.92287164830083
EGR2	7.81229458995367	7.36205622137592	7.96168594568825	7.23062099067167	6.54282625607218	6.04286553399709	6.29426210634418	6.13460808659666
HECTD2	5.47459687049635	5.644754623002	5.82864660317146	5.12607491618369	4.18913886089722	3.66153549410973	4.14717936443634	3.49926476515905
TMPRSS3	5.57378381355785	5.39138236366699	5.62571955730609	5.39514229375729	4.08349856462457	3.35462083901617	4.16947994093925	3.44048735168286
NFKB1	8.6530427968211	8.48757855594376	8.55290477190495	8.31394304898307	7.28563886811318	6.93791199506696	6.34622823182793	6.33614977221261
HGSNAT	6.03534678746157	5.82501467466003	5.97673271219344	5.54774103062577	4.59770145082487	3.86157370514986	4.66044085947073	3.93150046931128
DUSP6	5.62483879603273	5.64693485609526	5.66909104700395	5.7995580983773	7.76485314497522	7.43574152592242	7.08337246696057	7.19379347937935
RASGRP4	4.21837399029395	3.24405273901466	4.05397518302918	2.92833185319041	2.28212273273488	1.2481286604941	2.22250024643439	0.984134391523429
MAST4	7.5561560129931	7.0068546754538	6.51190237185667	6.72864649018422	5.79378071280008	5.0583287131145	5.35692896356081	5.03845104065556
JPH4	1.75012778567105	3.87357657464149	4.35025061291501	3.75287698214287	0.121435361534776	0.591393101463572	1.73395565732502	0.839979673115908
CLIC4	7.04860866719762	7.13741883212434	7.62497344463443	6.97377907695189	5.95971105320304	5.39874536208228	6.27087871964921	5.54096039627276
C12orf75	7.428184714242	7.86037091172016	7.08626262490587	8.03713403017236	8.64947476249901	9.23314642813019	8.5037061569143	8.93992122749733
HAVCR2	5.45967523919742	5.54540846284344	5.43273267260351	5.18156646420905	7.00178483036916	7.01744616531564	6.50309224620999	6.94210157415662
APOBEC3F	7.23504807942346	7.42057253922684	7.04633402348767	7.54874366469987	6.20268432864293	5.96893288241793	5.98143123638631	6.1757310519671
BMF	3.5216748799898	3.51146622663767	4.08715112799983	3.89624630154885	1.6760034392543	0.98346536359068	1.7843686997078	1.30286831947166
MCTP2	5.38792460573881	5.67924904220959	4.69609479308828	5.31232964016927	6.65435531322828	6.60932813808514	5.98412977808066	6.56490221649186
CCL20	1.90502548623642	3.80884221867527	3.14463536741569	2.5869160970929	0.434312176120518	1.39433942339922	0.740119903302589	0.337244834061302
PHLDA2	4.38296099611626	4.30211240895956	4.79979904127371	4.00571587866653	2.56504393143098	1.6651996907524	2.75634441611756	1.8761875129982
RELL1	4.8207363083073	4.92041195945411	4.32265849960651	4.57115147006592	5.83727114889977	6.05861882046313	5.34578153261231	5.72357720708518
NUCB2	5.04223089410827	4.95249566169347	5.20233400027292	5.38031152881743	6.14477368651486	5.9032720217647	6.19603889633523	6.509982095908
KLF7	6.99786726022679	6.50905604374328	7.00830297891214	6.46992308388311	5.00786362597665	3.88296691643062	5.02082923377122	3.37921318288764
CD8A	8.09436350377689	8.11742589486108	7.64042186762865	8.41860688715376	8.89348649845683	9.06375959104937	8.45817221465318	9.24408980635345
STRA6	3.86902194808709	3.44285437359255	5.2143957177381	3.69303363622106	0.554201062516905	1.00963518416082	2.51894619859401	0.928188848783933
SEC14L2	5.08984739535713	4.72993640887602	5.00467979875144	4.31454185265987	3.52465562567818	3.12850556345792	3.13868247877863	3.07230926693471
FGFR1	3.93524125941242	4.43421507186342	4.39067386995358	4.34263487019656	5.7922574058205	5.59191177017118	5.93755363806341	6.09227846219501
PLEKHA6	2.68978738995093	2.26936241215239	3.16342227864734	1.54457187300214	0.742662228639235	0.52036200182128	0.87029428401108	0.379578683815758
ITGA1	7.81058051448549	8.19937005305571	6.56761918659203	7.59706469433184	5.75050810184619	6.90952706065509	4.75406174568799	6.18396614167865
CFAP57	4.78726288422907	4.79429635660962	4.44030249904231	5.20164586981183	2.00541327885847	1.58044020999755	2.1602309661323	1.38828327566756
UBE2G1	6.87109278113219	6.71063006727201	6.25080675663999	6.49015793621418	7.70276155441704	7.68875710071444	7.36347832159961	7.53928533201366
MYADM	6.01847521874516	5.56283347934146	5.48220652818516	5.7842757997461	4.61158761022603	4.21924245858389	3.86433614495184	4.70765269616196
PLEC	8.34735938234643	7.3828079935435	7.5723478877157	7.64663925307608	6.58917957009569	5.78040594536114	6.39029684432656	6.48111016686225
RIOX2	5.69765573240665	5.61833154713301	5.81880473541981	5.8639722405766	6.60227854866462	6.56258616647753	6.72150466920028	6.84157501708864
SNX30	4.27913069902097	4.93297387620385	4.49323926341802	4.53508572855956	2.35822202877296	2.37806190930105	2.78963349929695	2.74809098378077
PPIAP45	2.73179558766487	3.09871178542185	3.5392307571139	2.56800248341422	0.88666244457455	0.844983621690875	1.29802487404024	0.379578683815758
MYO5B	3.42768013507271	3.84347482600404	5.18251604997068	4.28299426984866	1.40012441337252	1.69775663531683	1.73395565732502	1.34620783078093
GJB6	4.89656258311918	4.0552733102801	4.4783116345463	2.65122679236875	6.49446573755516	6.3952572147888	6.30868657170548	5.19035810774137
RBM47	2.08433922278675	1.69248425975827	2.27059134549583	1.50534363713755	5.20506878652277	4.53068738230274	4.34768439268629	3.30975762223006
BTG1	7.5741636932097	7.41802159738921	8.29874511318509	7.92338491975587	6.52963076361174	6.1018343100494	6.57824128955094	6.63046300393326
COLGALT2	4.89471469859279	4.84455392243591	5.46084927404961	4.8071978814885	2.93999050750543	3.32886967274571	3.90287594937443	3.50883233223863
SNX9	8.13190927875518	8.08422444012841	8.43801966925891	7.59939511869236	6.93743223061742	6.42655294978414	6.3399216989283	6.04538585353938
SLCO4A1	5.15767883017336	4.9365429963259	4.30302514941022	4.85088564906474	6.12373104822899	6.42533837065973	5.7377787805635	6.24606383961622
ARHGEF28	4.38822412230876	4.32135111324773	5.14519810320374	4.4158620302027	0.610605266311334	1.20348014810556	2.43727852580106	1.46892264997972
CPEB2	4.96508394847542	4.60317694957765	4.79779635742839	4.76837268158301	3.80098416326949	3.15219278049819	3.39268780124165	3.17803418320717
EBI3	5.39054953051341	5.53602834324565	5.69729753132992	5.90033919857554	3.20562542463542	3.14630733704879	4.22224525738813	3.32608517545186
TNFSF9	5.55518655357424	5.56629336891306	6.30539331835142	5.79040815886773	3.91455782827649	4.50791816921575	4.81595749899693	4.49546456080731
ARHGAP31	6.5014202582027	5.93169382274657	6.85157155937369	6.30979987593943	4.63726931232843	3.97549450700155	5.51082395901724	5.01178251833899
YPEL5	6.30810092985173	6.18973722078351	7.08994988926448	6.45133683392446	5.35705332166476	4.92546092870406	5.5586784712916	5.14659471833964
IL6R	3.93164107251056	3.24980208914734	3.60484447085172	3.54130132487691	1.30077399993988	1.08541152109929	1.86466292241544	1.21207634272592
CCDC74A	3.47791342238626	3.40728469310465	4.0739721568321	3.51191337202613	1.46274978968146	1.26994521691538	1.6089862508618	1.90545761756239
BASP1	3.53122197809297	3.22666592488674	4.38267932143522	3.33302810292664	0.664886989186792	1.00963518416082	2.14744797096254	0.869985992600291
OSTF1	7.44469741417665	6.98504663538915	6.20922082383717	7.27101700216678	8.64915922763289	8.44346718724502	7.49511747039609	8.14408929022134
ERO1A	8.01875434182308	7.89632456816706	7.47638262923626	7.90795627541777	8.74764849976885	8.8020443640001	8.29134463303344	8.77005951299146
GLB1	7.55878401819611	7.55985811149772	7.71977829154895	7.43003607654506	6.66229908582168	6.57687785024533	6.39773740372552	6.32806584625736
MMP25-AS1	3.98819298666413	3.92119070454612	2.96354274947485	3.57010257136653	5.17382191636845	5.14204140402807	4.48611185798119	4.8555828414194
NDRG1	6.04287509606289	5.77106421035568	5.75520761944271	5.80865037217787	4.85865238933066	4.67666211979604	4.15038634374112	4.57276006302247
UCP2	9.46057955659515	9.62405053775669	9.33537250998818	9.38450853520623	8.51417975477015	8.05412912306368	7.65069935969684	8.04851664272819
LITAF	7.99199628139839	8.06885804648195	8.6913541289965	8.11676927287543	7.24723905724923	7.11295588463179	7.63332709919102	7.08486874482126
SOS1	6.95993071789431	7.12769433168842	6.75320354900279	7.05413005507888	7.96250965519167	8.02575888665643	7.6347589520103	7.82645154804389
DHRS2	5.82440245216863	7.12300318579814	7.5802340709367	5.02741163273197	2.63469833568772	5.34451795245468	4.72208870516339	2.37179469579919
NAPSB	4.38559495927638	4.04869214395409	2.3382930582177	3.53644471686159	1.99485657395579	1.37433770476938	0.705654507389112	0.61040079774336
SARDH	4.49697164193975	4.09094268784688	3.5052698328051	4.15892782337631	2.70762340719529	2.01442875211102	1.86466292241544	1.66992186222974
APOBEC3C	8.90995570827142	8.7444556477181	9.14034482182644	9.05352727810168	8.11774016110518	7.68546335002108	7.88676196537537	8.10322572753165
TGIF1	5.7145144169281	5.18931258045503	5.72706940996503	5.24396738332924	4.57661834365562	3.86516134304652	4.5112745574016	4.28885873244231
STK17B	8.21385684454131	8.52361990506654	7.93869567144004	8.455254177394	8.97589358986158	9.26455793700195	8.76686172508211	9.16574206892364
HECW2-AS1	3.58721468294755	3.98117460914955	4.66566994144564	3.96291956482544	5.32475272326204	5.41229617715961	5.75051450717845	5.40666856673652
TMOD1	4.82656359751261	5.22477477138442	4.28598125146503	4.76422437153221	1.43177688486331	1.74525460381816	2.21025954802348	1.14002439616453
CYS1	5.35335872232164	5.12194421417969	5.31163929674933	5.39380032471587	0.610605266311334	0.659090478553203	2.27045016913642	1.30286831947166
PRKAA1	6.57422950936161	6.28520788531095	6.12786092535431	6.31193292732162	7.33198241811752	7.31960140482326	7.14254530503026	7.29575950005518
GEM	3.54070631296401	3.62641607103013	4.90587332199711	3.68427828790476	1.26607635392781	0.48349043810627	1.09995356891575	1.16444373133599
GCNT1	7.07046355241114	7.08290293815898	7.38829127177896	7.3558211419161	5.6814188563676	5.73014047727498	5.8817258502036	5.179915440804
